Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Graduate,No,4583,1508,1,Rural,N
Male,Yes,0,Graduate,Yes,3000,0,1,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358,1,Urban,Y
Male,No,0,Graduate,No,6000,0,1,Urban,Y
Male,Yes,0,Not Graduate,No,2333,1516,1,Urban,Y
Male,Yes,2,Graduate,No,3200,700,1,Urban,Y
Male,Yes,2,Graduate,,2500,1840,1,Urban,Y
Male,No,0,Graduate,No,1853,2840,1,Rural,N
Male,Yes,2,Graduate,No,1299,1086,1,Urban,Y
Male,No,0,Graduate,No,4950,0,1,Urban,Y
Male,No,1,Not Graduate,No,3596,0,,Urban,Y
Female,No,0,Graduate,No,3510,0,0,Urban,N
Male,Yes,0,Not Graduate,No,4887,0,1,Rural,N
Male,Yes,0,Graduate,,2600,3500,1,Urban,Y
Male,Yes,0,Not Graduate,No,7660,0,0,Urban,N
Male,Yes,0,Not Graduate,No,2600,1911,0,Semiurban,N
,Yes,2,Not Graduate,No,3365,1917,0,Rural,N
Male,Yes,0,Graduate,No,2799,2253,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040,1,Urban,Y
Male,No,0,Not Graduate,No,1442,0,1,Urban,N
Female,No,2,Graduate,,3750,2083,1,Semiurban,Y
Male,No,0,Graduate,No,3167,0,1,Urban,N
Male,No,1,Graduate,Yes,4692,0,1,Rural,N
Male,Yes,0,Graduate,No,3500,1667,1,Semiurban,Y
Male,Yes,0,Graduate,No,1828,1330,0,Urban,N
Female,Yes,0,Graduate,No,3667,1459,1,Semiurban,Y
Male,No,0,Not Graduate,No,3748,1668,1,Semiurban,Y
Male,No,0,Graduate,No,3600,0,1,Urban,N
Male,No,0,Graduate,No,1800,1213,1,Urban,Y
Male,Yes,0,Graduate,No,2400,0,,Urban,Y
Male,Yes,0,Graduate,No,3941,2336,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,4695,0,1,Urban,Y
Female,No,0,Graduate,No,3410,0,1,Urban,Y
Male,Yes,1,Graduate,No,5649,0,1,Urban,Y
Male,Yes,0,Graduate,No,5821,0,1,Urban,Y
Female,Yes,0,Graduate,No,2645,3440,0,Urban,N
Female,No,0,Graduate,No,4000,2275,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,1928,1644,1,Semiurban,Y
Female,No,0,Graduate,No,3086,0,1,Semiurban,Y
Female,No,0,Graduate,No,4230,0,1,Semiurban,N
Male,Yes,2,Graduate,No,4616,0,1,Urban,N
Male,Yes,2,Graduate,No,2708,1167,1,Semiurban,Y
Male,Yes,0,Graduate,No,2132,1591,1,Semiurban,Y
Male,Yes,0,Graduate,No,3366,2200,1,Rural,N
Male,Yes,2,Not Graduate,No,3357,2859,1,Urban,Y
Male,Yes,0,Graduate,No,2500,3796,1,Urban,Y
Male,Yes,3+,Graduate,No,3029,0,1,Urban,Y
Female,No,0,Graduate,No,4166,0,0,Semiurban,N
Male,No,0,Not Graduate,No,3200,2254,0,Urban,N
Male,Yes,3+,Not Graduate,Yes,7100,0,1,Urban,Y
Female,No,0,Graduate,No,4300,0,0,Semiurban,N
Male,Yes,2,Not Graduate,Yes,1875,1875,1,Semiurban,Y
Male,No,0,Graduate,No,3500,0,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,4755,0,0,Semiurban,N
Male,No,0,Graduate,No,3750,0,1,Urban,N
Male,Yes,1,Graduate,Yes,1000,3022,1,Urban,N
Male,Yes,3+,Not Graduate,Yes,3333,2166,,Semiurban,Y
Female,No,0,Graduate,No,3846,0,1,Semiurban,Y
Male,Yes,1,Graduate,No,3988,0,1,Urban,Y
Male,No,0,Graduate,No,2366,2531,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3333,2000,,Semiurban,Y
Male,Yes,0,Graduate,No,2500,2118,1,Semiurban,Y
Male,Yes,0,Graduate,No,2958,2900,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3273,1820,1,Urban,Y
Male,No,0,Graduate,No,4133,0,1,Semiurban,Y
Male,No,0,Not Graduate,No,3620,0,1,Semiurban,Y
Female,Yes,0,Graduate,No,2484,2302,1,Semiurban,Y
Male,Yes,0,Graduate,No,1977,997,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,4188,0,1,Semiurban,Y
Male,Yes,0,Graduate,No,1759,3541,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4288,3263,1,Urban,Y
Male,Yes,1,Graduate,No,3052,1030,1,Urban,Y
Male,No,0,Not Graduate,,7333,0,1,Rural,N
Male,Yes,3+,Not Graduate,No,2071,754,1,Semiurban,Y
Male,No,0,Graduate,No,5316,0,1,Urban,Y
Female,Yes,0,Graduate,,2929,2333,1,Semiurban,Y
Male,No,0,Graduate,,5050,0,1,Semiurban,Y
Male,Yes,1,Graduate,No,2214,1398,,Urban,Y
Female,No,0,Graduate,No,4166,0,1,Semiurban,Y
Female,No,0,Graduate,No,2137,8980,0,Semiurban,Y
Male,Yes,2,Graduate,No,2957,0,1,Semiurban,Y
Female,No,0,Graduate,No,3692,0,,Rural,Y
Male,No,0,Graduate,No,2014,1929,1,Urban,Y
Male,No,0,Graduate,No,2718,0,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,3459,0,1,Semiurban,Y
Male,No,0,Graduate,No,4895,0,1,Semiurban,Y
Female,Yes,0,Graduate,No,4583,0,1,Rural,N
Male,Yes,2,Graduate,Yes,3316,3500,1,Urban,Y
Male,Yes,2,Not Graduate,No,4200,1430,1,Rural,N
Male,Yes,0,Graduate,No,2698,2034,1,Semiurban,Y
Female,Yes,0,Graduate,No,2330,4486,1,Semiurban,Y
Male,Yes,1,Graduate,No,1538,1425,1,Urban,Y
Male,Yes,0,Graduate,No,4860,830,1,Semiurban,Y
Male,No,0,Graduate,No,6277,0,0,Rural,N
Male,Yes,2,Not Graduate,No,2281,0,1,Rural,N
Male,No,0,Graduate,No,3254,0,1,Urban,Y
Male,No,0,Graduate,,2980,2083,1,Rural,Y
Male,Yes,0,Not Graduate,No,1863,1041,1,Semiurban,Y
Male,Yes,1,Graduate,No,3089,1280,0,Semiurban,N
Male,Yes,0,Graduate,No,9323,0,1,Urban,Y
Female,Yes,0,Graduate,No,4583,0,1,Rural,N
Male,Yes,0,Graduate,No,2439,3333,1,Rural,Y
Male,No,0,Graduate,No,2237,0,0,Semiurban,N
Male,Yes,0,Not Graduate,,1820,1769,1,Rural,Y
Male,Yes,3+,Not Graduate,No,3522,0,1,Rural,N
Male,Yes,0,Not Graduate,Yes,4344,736,1,Semiurban,N
Male,Yes,0,Graduate,No,3497,1964,1,Rural,Y
Male,Yes,2,Graduate,No,2045,1619,1,Rural,Y
Male,Yes,1,Graduate,No,3750,0,1,Semiurban,Y
Male,No,0,Not Graduate,No,2333,1451,0,Urban,N
Male,No,0,Graduate,No,1916,5063,,Rural,N
Male,Yes,0,Graduate,No,4600,0,1,Semiurban,Y
Female,Yes,0,Graduate,No,3625,0,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,2178,0,0,Rural,N
Male,Yes,0,Graduate,No,2383,2138,,Rural,Y
Male,No,0,Not Graduate,No,4885,0,1,Rural,Y
Male,No,0,Graduate,No,3858,0,1,Semiurban,Y
Male,No,0,Graduate,No,4191,0,1,Rural,Y
Female,No,0,Not Graduate,No,1907,2365,1,Urban,Y
Female,Yes,0,Graduate,No,3416,2816,,Semiurban,Y
Male,Yes,1,Not Graduate,No,2600,2500,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,3500,1083,1,Urban,Y
Male,Yes,2,Not Graduate,No,3917,0,1,Semiurban,Y
Female,No,0,Not Graduate,No,4408,0,1,Semiurban,Y
Female,No,0,Graduate,No,3244,0,1,Urban,Y
Male,No,0,Not Graduate,No,3975,2531,1,Rural,Y
Male,No,0,Graduate,No,2479,0,1,Urban,Y
Male,No,0,Graduate,No,3418,0,1,Semiurban,N
Male,Yes,3+,Graduate,No,3430,1250,0,Semiurban,N
Male,Yes,3+,Not Graduate,Yes,5703,0,1,Rural,Y
Male,Yes,0,Graduate,No,3173,3021,1,Urban,Y
Male,Yes,3+,Not Graduate,No,3850,983,1,Semiurban,Y
Male,Yes,0,Graduate,No,150,1800,1,Rural,N
Male,Yes,0,Graduate,No,3727,1775,1,Semiurban,Y
Male,Yes,2,Graduate,,5000,0,0,Semiurban,N
Female,Yes,2,Graduate,No,4283,2383,,Semiurban,Y
Male,Yes,0,Graduate,No,2221,0,0,Urban,N
Male,Yes,2,Graduate,No,4009,1717,1,Semiurban,Y
Male,No,0,Graduate,No,2971,2791,1,Semiurban,Y
Male,Yes,0,Graduate,No,6250,0,1,Semiurban,Y
Male,Yes,,Not Graduate,Yes,4735,0,1,Urban,N
Male,Yes,1,Graduate,No,2491,2054,1,Semiurban,Y
Male,Yes,0,Graduate,,3716,0,1,Rural,Y
Male,No,0,Not Graduate,No,3189,2598,1,Rural,Y
Male,Yes,1,Graduate,No,3155,1779,1,Semiurban,Y
Female,No,0,Graduate,Yes,3463,0,,Urban,Y
Female,No,1,Graduate,No,3812,0,1,Rural,Y
Male,Yes,1,Graduate,No,3315,0,1,Semiurban,Y
Male,Yes,2,Graduate,No,5819,5000,1,Rural,Y
Male,Yes,1,Not Graduate,No,2510,1983,1,Urban,N
Male,Yes,2,Graduate,Yes,6250,1300,1,Rural,Y
Male,Yes,0,Not Graduate,No,3406,4417,1,Semiurban,Y
Male,No,0,Graduate,Yes,6050,4333,1,Urban,N
Male,Yes,2,Graduate,No,9703,0,1,Urban,Y
Male,Yes,1,Not Graduate,No,6608,0,1,Urban,Y
Male,Yes,1,Graduate,No,2882,1843,1,Semiurban,Y
Male,Yes,0,Graduate,No,1809,1868,1,Urban,Y
Female,No,2,Graduate,No,3427,0,1,Urban,N
Male,No,0,Not Graduate,Yes,2583,2167,1,Rural,Y
Male,No,0,Not Graduate,No,6045,0,0,Rural,N
Male,Yes,3+,Graduate,No,5250,0,1,Urban,N
Male,Yes,3+,Not Graduate,No,4931,0,,Semiurban,N
Male,No,0,Graduate,No,2060,2209,1,Semiurban,Y
Female,No,0,Graduate,No,7200,0,1,Rural,Y
Male,No,0,Graduate,Yes,5166,0,1,Semiurban,Y
Male,Yes,2,Graduate,No,4708,1387,1,Semiurban,Y
Female,No,0,Graduate,,3418,0,1,Rural,N
Female,No,1,Graduate,No,2876,1560,1,Urban,Y
Female,No,0,Graduate,No,3237,0,1,Urban,Y
Male,No,0,Graduate,No,2833,1857,1,Rural,Y
Male,Yes,0,Graduate,No,2620,2223,1,Semiurban,Y
Male,Yes,2,Graduate,No,3900,0,1,Semiurban,Y
Male,Yes,1,Graduate,No,2750,1842,1,Semiurban,Y
Male,Yes,0,Graduate,No,3103,1300,1,Urban,Y
Female,Yes,0,Not Graduate,No,4100,0,,Rural,Y
Male,Yes,0,Graduate,No,3927,800,1,Semiurban,Y
Male,Yes,2,Graduate,No,2301,985.7999878,1,Urban,Y
Female,No,0,Graduate,No,1811,1666,1,Urban,Y
Male,No,0,Graduate,No,3158,3053,1,Rural,Y
Female,No,0,Graduate,Yes,2600,1717,1,Semiurban,N
Male,Yes,0,Graduate,No,3704,2000,1,Rural,Y
Female,No,0,Graduate,No,4124,0,1,Semiurban,Y
Male,Yes,0,Graduate,No,3075,2416,1,Rural,Y
Male,Yes,2,Graduate,No,4400,0,0,Semiurban,N
Male,Yes,2,Graduate,No,3153,1560,1,Urban,Y
Female,No,,Graduate,No,5417,0,0,Urban,N
Male,Yes,3+,Graduate,,4416,1250,1,Urban,Y
Female,Yes,1,Graduate,No,4666,0,1,Urban,Y
Male,Yes,1,Graduate,No,2014,2925,1,Urban,N
Male,Yes,0,Not Graduate,No,1800,2934,0,Urban,N
Male,Yes,,Not Graduate,No,2875,1750,1,Semiurban,Y
Female,No,0,Graduate,No,5000,0,1,Rural,Y
Male,Yes,1,Graduate,No,1625,1803,1,Urban,Y
Male,No,0,Graduate,No,4000,2500,1,Rural,Y
Female,No,0,Graduate,No,3762,1666,1,Rural,Y
Female,No,0,Graduate,No,2400,1863,0,Urban,N
Female,No,0,Graduate,No,2917,0,1,Semiurban,Y
Male,No,0,Not Graduate,No,2927,2405,1,Semiurban,Y
Female,No,0,Graduate,No,2507,0,1,Rural,Y
Male,Yes,2,Graduate,Yes,5746,0,,Rural,Y
Male,Yes,1,Not Graduate,No,3399,1640,1,Urban,Y
Male,Yes,2,Graduate,No,3717,0,1,Semiurban,Y
Male,Yes,0,Graduate,No,2058,2134,,Urban,Y
Female,No,1,Graduate,No,3541,0,,Semiurban,Y
Male,Yes,0,Graduate,No,2400,2167,1,Semiurban,Y
Male,Yes,3+,Graduate,No,4342,189,1,Semiurban,Y
Female,No,0,Graduate,No,3166,2985,,Rural,Y
Male,No,0,Graduate,No,4917,0,0,Rural,Y
Female,Yes,0,Graduate,No,4333,2451,1,Urban,N
Female,No,0,Graduate,No,2500,0,1,Urban,Y
Male,No,1,Graduate,No,4384,1793,1,Urban,Y
Male,No,0,Graduate,No,2935,0,1,Semiurban,Y
Male,No,,Graduate,No,2833,0,1,Urban,Y
Male,Yes,,Graduate,Yes,5503,4490,1,Semiurban,Y
Female,No,0,Graduate,No,4160,0,1,Semiurban,Y
Female,No,0,Graduate,No,2378,0,1,Rural,N
Male,Yes,3+,Not Graduate,No,3173,0,1,Semiurban,Y
Male,Yes,2,Graduate,,2583,2330,1,Rural,Y
Male,Yes,2,Not Graduate,No,3083,2168,1,Urban,Y
Male,Yes,3+,Graduate,No,2666,2083,1,Rural,Y
Female,Yes,0,Graduate,Yes,5500,0,0,Rural,N
Female,Yes,0,Graduate,No,2423,505,1,Semiurban,Y
Female,No,,Graduate,No,3813,0,1,Urban,Y
Male,Yes,1,Graduate,No,3875,0,1,Urban,N
Male,Yes,0,Not Graduate,No,3000,1666,0,Urban,N
Female,No,1,Graduate,No,4723,0,1,Semiurban,N
Male,Yes,0,Graduate,No,4750,2333,1,Urban,Y
Male,Yes,0,Graduate,No,3013,3033,,Urban,Y
Male,No,0,Graduate,Yes,6822,0,1,Rural,Y
Male,No,0,Not Graduate,No,6216,0,1,Rural,N
Male,No,0,Graduate,No,2500,0,1,Semiurban,N
Male,No,0,Graduate,No,5124,0,0,Rural,N
Male,No,1,Graduate,No,3062,1987,0,Urban,N
Female,No,0,Graduate,,2764,1459,1,Urban,Y
Male,Yes,0,Graduate,No,4817,923,1,Urban,Y
Male,Yes,3+,Graduate,No,8750,4996,1,Rural,Y
Male,Yes,0,Graduate,No,4310,0,,Semiurban,Y
Male,No,0,Graduate,No,3069,0,1,Urban,N
Male,Yes,2,Graduate,No,5391,0,1,Urban,Y
Male,Yes,0,Graduate,,3333,2500,1,Semiurban,Y
Male,No,0,Graduate,Yes,7167,0,1,Urban,Y
Male,Yes,2,Graduate,No,4566,0,1,Urban,N
Male,No,1,Graduate,,3667,0,1,Urban,Y
Male,No,0,Not Graduate,No,2346,1600,1,Semiurban,Y
Male,Yes,0,Graduate,No,2333,2417,1,Urban,Y
Male,Yes,0,Graduate,No,5488,0,1,Rural,Y
Male,Yes,0,Graduate,No,2583,2115,,Urban,Y
Male,Yes,2,Not Graduate,No,1993,1625,1,Semiurban,Y
Male,Yes,2,Graduate,No,3100,1400,1,Urban,Y
Male,Yes,2,Graduate,No,3276,484,,Semiurban,Y
Female,No,0,Graduate,No,3180,0,0,Urban,N
Male,Yes,0,Graduate,No,3033,1459,1,Urban,Y
Male,No,0,Not Graduate,No,3902,1666,1,Rural,Y
Female,No,0,Graduate,No,1500,1800,0,Semiurban,N
Male,Yes,2,Not Graduate,No,2889,0,0,Urban,N
Male,No,0,Not Graduate,No,2755,0,1,Rural,N
Male,No,0,Graduate,No,2500,20000,1,Semiurban,Y
Female,No,0,Not Graduate,No,1963,0,1,Semiurban,Y
Female,No,0,Graduate,No,4547,0,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2167,2400,1,Urban,Y
Female,No,0,Not Graduate,No,2213,0,1,Rural,Y
Female,No,1,Not Graduate,Yes,3867,0,1,Semiurban,N
Male,Yes,0,Not Graduate,No,2253,2033,1,Rural,Y
Female,No,0,Graduate,No,2995,0,1,Urban,Y
Male,Yes,0,Graduate,No,1025,2773,1,Rural,Y
Male,Yes,0,Graduate,No,3246,1417,1,Semiurban,Y
Male,Yes,0,Graduate,No,5829,0,1,Rural,Y
Female,No,0,Not Graduate,No,2720,0,0,Urban,N
Male,Yes,0,Graduate,No,1820,1719,1,Urban,Y
Male,Yes,1,Graduate,No,7250,1667,0,Urban,N
Male,Yes,0,Graduate,No,2666,4300,1,Rural,Y
Female,No,1,Not Graduate,No,4606,0,1,Rural,N
Male,Yes,2,Graduate,No,5935,0,1,Semiurban,Y
Male,Yes,0,Graduate,No,2920,16.12000084,1,Rural,Y
Male,No,0,Not Graduate,No,2717,0,1,Urban,Y
Female,No,1,Graduate,Yes,8624,0,1,Semiurban,Y
Male,No,0,Graduate,No,6500,0,0,Rural,N
Male,Yes,0,Graduate,No,2425,2340,1,Semiurban,Y
Male,No,0,Graduate,No,3750,0,1,Urban,Y
Male,No,0,Graduate,No,1926,1851,1,Semiurban,Y
Female,Yes,0,Not Graduate,Yes,7142,0,1,Rural,Y
Male,No,3+,Not Graduate,No,4707,1993,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,3466,1210,1,Rural,Y
Male,Yes,2,Not Graduate,No,4652,0,1,Rural,Y
Male,Yes,0,Graduate,,3539,1376,1,Rural,N
Male,Yes,2,Graduate,No,3340,1710,0,Rural,N
Male,Yes,2,Not Graduate,No,2309,1255,0,Rural,N
Male,Yes,2,Not Graduate,No,1958,1456,,Urban,Y
Male,Yes,0,Graduate,No,3948,1733,0,Rural,N
Male,Yes,0,Graduate,No,2483,2466,0,Rural,Y
Male,No,0,Graduate,Yes,7085,0,1,Semiurban,Y
Male,Yes,2,Graduate,No,3859,0,1,Semiurban,Y
Male,Yes,0,Graduate,No,4301,0,1,Urban,Y
Male,No,2,Graduate,No,4354,0,1,Rural,Y
Male,Yes,3+,Graduate,No,7740,0,1,Urban,Y
Female,No,1,Not Graduate,,5191,0,1,Semiurban,Y
Male,No,0,Graduate,No,4166,0,0,Semiurban,N
Male,No,0,Graduate,No,6000,0,1,Rural,Y
Male,Yes,3+,Not Graduate,No,2947,1664,0,Urban,N
Female,Yes,2,Not Graduate,,210,2917,1,Semiurban,Y
Male,Yes,0,Graduate,No,4333,2451,1,Urban,N
Male,Yes,1,Not Graduate,No,2653,1500,0,Rural,N
Male,Yes,3+,Graduate,No,4691,0,1,Semiurban,Y
Female,No,0,Graduate,Yes,2500,0,,Urban,Y
,Yes,2,Graduate,No,2873,1872,0,Semiurban,N
Male,Yes,3+,Not Graduate,No,3095,0,1,Rural,Y
Male,Yes,0,Graduate,No,2083,3150,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,1958,2436,1,Rural,Y
Male,No,2,Graduate,No,3547,0,0,Rural,N
Male,No,0,Graduate,No,2435,0,1,Urban,N
Male,No,0,Not Graduate,No,2699,2785,,Semiurban,Y
Male,No,0,Not Graduate,No,3691,0,1,Rural,Y
Male,Yes,0,Graduate,No,3597,2157,0,Rural,N
Female,Yes,1,Graduate,No,3326,913,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2600,1700,1,Rural,Y
Male,Yes,0,Graduate,No,4625,2857,,Urban,Y
Male,Yes,1,Graduate,Yes,2895,0,1,Semiurban,Y
Female,No,0,Graduate,No,645,3683,1,Rural,Y
Female,No,0,Graduate,No,3159,0,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,4050,5302,,Rural,N
Male,Yes,0,Not Graduate,No,3814,1483,1,Semiurban,Y
,No,0,Graduate,No,3583,0,1,Urban,N
Male,No,0,Not Graduate,No,3598,1287,1,Rural,N
Male,Yes,2,Graduate,No,3283,2035,1,Urban,Y
Male,Yes,0,Graduate,No,2130,6666,1,Semiurban,N
Male,Yes,3+,Graduate,No,3466,3428,1,Rural,Y
Female,Yes,2,Graduate,No,2031,1632,1,Semiurban,Y
Male,Yes,,Not Graduate,No,3074,1800,0,Semiurban,N
Female,No,0,Not Graduate,No,3400,0,1,Rural,N
Male,Yes,2,Not Graduate,No,2192,1742,1,Semiurban,Y
Male,No,0,Graduate,No,2500,0,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,5677,1424,1,Rural,Y
Male,Yes,0,Graduate,No,3775,0,1,Semiurban,Y
Male,No,1,Not Graduate,No,2679,1302,1,Semiurban,Y
Male,No,0,Not Graduate,No,6783,0,1,Semiurban,Y
Male,Yes,3+,Graduate,No,4281,0,1,Urban,Y
Male,No,2,Graduate,No,3588,0,0,Rural,N
Male,No,0,Not Graduate,,2550,2042,1,Rural,Y
Male,No,2,Graduate,No,3617,0,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2917,536,1,Rural,N
Female,Yes,1,Graduate,No,4608,2845,1,Semiurban,Y
Female,No,0,Graduate,No,2138,0,0,Semiurban,N
Female,No,1,Graduate,,3652,0,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,2239,2524,1,Urban,Y
Female,Yes,0,Not Graduate,No,3017,663,,Semiurban,Y
Male,No,0,Not Graduate,No,3358,0,1,Semiurban,N
Male,No,0,Graduate,No,2526,1783,1,Rural,Y
Female,No,0,Graduate,No,5000,0,0,Semiurban,N
Male,Yes,0,Graduate,No,2785,2016,1,Rural,Y
Male,Yes,0,Graduate,No,3593,4266,0,Rural,N
Male,Yes,1,Graduate,No,5468,1032,1,Semiurban,Y
Female,No,0,Graduate,No,2667,1625,,Urban,Y
Male,Yes,2,Not Graduate,No,3675,242,1,Semiurban,Y
Male,No,0,Not Graduate,Yes,5800,0,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,4467,0,,Rural,Y
Male,No,0,Graduate,No,3333,0,1,Urban,Y
Male,Yes,3+,Graduate,No,3400,2500,0,Rural,N
Female,No,0,Graduate,No,2378,0,1,Urban,N
Male,Yes,0,Graduate,No,3166,2064,0,Urban,N
Male,Yes,3+,Graduate,No,6406,0,1,Semiurban,N
Male,Yes,2,Graduate,No,3159,461,1,Urban,Y
,Yes,0,Graduate,No,3087,2210,0,Semiurban,N
Male,No,0,Graduate,No,3229,2739,1,Urban,Y
Male,Yes,1,Graduate,No,1782,2232,1,Rural,Y
Male,No,0,Graduate,No,1836,33837,1,Urban,N
Female,Yes,0,Graduate,No,3166,0,1,Semiurban,Y
Male,Yes,1,Graduate,No,1880,0,,Rural,N
Male,Yes,1,Graduate,No,2787,1917,0,Rural,N
Male,Yes,0,Graduate,No,2297,1522,1,Urban,Y
Female,No,0,Not Graduate,No,2165,0,1,Semiurban,Y
,No,0,Graduate,No,4750,0,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,2726,0,0,Semiurban,N
Male,Yes,0,Graduate,No,3000,3416,1,Semiurban,Y
Male,Yes,0,Graduate,No,3859,3300,1,Rural,Y
Male,No,0,Not Graduate,No,3833,0,1,Rural,Y
Male,No,,Graduate,No,2987,0,0,Semiurban,N
Male,Yes,3+,Graduate,No,5703,0,1,Urban,Y
Male,Yes,0,Graduate,No,3232,1950,1,Rural,Y
Female,No,0,Graduate,No,2900,0,1,Rural,Y
Male,Yes,3+,Graduate,No,4106,0,1,Rural,Y
Female,No,0,Graduate,Yes,4583,0,0,Semiurban,N
